id,total_proteins,majority_class,majority_class_count,purity_score,infilation
1,508,recombinationReplication,453,0.891732283,2
2,3,recombinationReplication,3,1,2
3,3,recombinationReplication,3,1,2
4,5,recombinationReplication,4,0.8,2
5,581,recombinationReplication,581,1,2
6,23,recombinationReplication,23,1,2
7,1506,recombinationReplication,811,0.538512616,2
8,4,recombinationReplication,4,1,2
9,115,recombinationReplication,115,1,2
10,728,lysogeny,721,0.990384615,2
11,82,recombinationReplication,66,0.804878049,2
13,400,lysogeny,396,0.99,2
14,2,structuralAssembly,2,1,2
15,703,lysis,513,0.72972973,2
17,384,recombinationReplication,384,1,2
19,179,recombinationReplication,179,1,2
20,246,recombinationReplication,246,1,2
21,142,recombinationReplication,142,1,2
22,174,lysogeny,94,0.540229885,2
23,301,recombinationReplication,301,1,2
24,540,recombinationReplication,539,0.998148148,2
25,1023,recombinationReplication,1022,0.999022483,2
26,1223,structuralAssembly,1222,0.999182339,2
29,157,recombinationReplication,104,0.662420382,2
30,58,recombinationReplication,57,0.982758621,2
31,189,structuralAssembly,143,0.756613757,2
32,40,recombinationReplication,39,0.975,2
34,743,structuralAssembly,743,1,2
35,141,structuralAssembly,141,1,2
36,189,recombinationReplication,187,0.989417989,2
37,574,structuralAssembly,574,1,2
38,162,structuralAssembly,162,1,2
39,56,lysis,56,1,2
41,16,recombinationReplication,16,1,2
42,1210,structuralAssembly,1145,0.946280992,2
43,861,recombinationReplication,436,0.506387921,2
44,11,recombinationReplication,11,1,2
45,268,lysogeny,260,0.970149254,2
47,239,structuralAssembly,239,1,2
49,8,recombinationReplication,8,1,2
50,252,recombinationReplication,200,0.793650794,2
51,54,recombinationReplication,54,1,2
52,134,recombinationReplication,134,1,2
55,51,recombinationReplication,44,0.862745098,2
57,932,recombinationReplication,824,0.884120172,2
58,8,recombinationReplication,5,0.625,2
60,143,recombinationReplication,143,1,2
63,248,recombinationReplication,247,0.995967742,2
64,43,recombinationReplication,41,0.953488372,2
66,13,recombinationReplication,13,1,2
67,86,recombinationReplication,86,1,2
68,116,recombinationReplication,116,1,2
69,189,recombinationReplication,188,0.994708995,2
71,843,structuralAssembly,842,0.99881376,2
72,174,recombinationReplication,174,1,2
73,332,lysogeny,327,0.984939759,2
74,552,lysis,522,0.945652174,2
75,239,recombinationReplication,238,0.9958159,2
76,99,structuralAssembly,99,1,2
78,2,recombinationReplication,2,1,2
79,222,recombinationReplication,222,1,2
80,85,recombinationReplication,85,1,2
81,2,recombinationReplication,2,1,2
85,127,recombinationReplication,127,1,2
87,16,structuralAssembly,14,0.875,2
88,41,recombinationReplication,41,1,2
89,278,lysogeny,278,1,2
90,3,recombinationReplication,3,1,2
91,44,lysogeny,44,1,2
92,1534,recombinationReplication,1534,1,2
93,1205,structuralAssembly,1202,0.997510373,2
94,870,structuralAssembly,870,1,2
95,508,recombinationReplication,508,1,2
96,535,recombinationReplication,535,1,2
99,349,structuralAssembly,349,1,2
102,14,recombinationReplication,14,1,2
103,243,recombinationReplication,243,1,2
104,272,recombinationReplication,187,0.6875,2
106,26,recombinationReplication,25,0.961538462,2
107,127,recombinationReplication,127,1,2
112,39,recombinationReplication,39,1,2
113,132,structuralAssembly,103,0.78030303,2
114,118,recombinationReplication,118,1,2
116,2,recombinationReplication,2,1,2
117,127,recombinationReplication,55,0.433070866,2
118,119,structuralAssembly,115,0.966386555,2
123,779,structuralAssembly,779,1,2
124,126,structuralAssembly,126,1,2
125,247,structuralAssembly,247,1,2
126,527,structuralAssembly,506,0.960151803,2
127,48,recombinationReplication,47,0.979166667,2
128,951,recombinationReplication,951,1,2
129,418,recombinationReplication,408,0.976076555,2
131,283,structuralAssembly,148,0.522968198,2
132,531,recombinationReplication,530,0.998116761,2
133,18,recombinationReplication,18,1,2
134,250,structuralAssembly,247,0.988,2
135,81,recombinationReplication,68,0.839506173,2
137,531,recombinationReplication,531,1,2
138,77,recombinationReplication,77,1,2
139,103,structuralAssembly,103,1,2
140,21,recombinationReplication,21,1,2
141,156,structuralAssembly,156,1,2
142,8,recombinationReplication,8,1,2
144,91,recombinationReplication,91,1,2
150,11,structuralAssembly,9,0.818181818,2
151,10,recombinationReplication,10,1,2
152,101,recombinationReplication,101,1,2
155,2,recombinationReplication,2,1,2
156,4,recombinationReplication,4,1,2
157,7,recombinationReplication,7,1,2
158,75,recombinationReplication,75,1,2
159,4,recombinationReplication,4,1,2
161,21,structuralAssembly,21,1,2
166,145,recombinationReplication,145,1,2
167,19,lysogeny,11,0.578947368,2
168,68,recombinationReplication,64,0.941176471,2
169,17,structuralAssembly,16,0.941176471,2
170,47,recombinationReplication,47,1,2
171,338,recombinationReplication,336,0.99408284,2
172,38,recombinationReplication,38,1,2
174,381,recombinationReplication,377,0.989501312,2
176,310,recombinationReplication,310,1,2
177,180,structuralAssembly,180,1,2
178,235,structuralAssembly,235,1,2
